DATE,LINE,PROCESS,PRODUCT_FAMILY,SHIFT,STATUS,WIP_QTY,OUTPUT_QTY,DEFECT_QTY,YIELD_RATE,CYCLE_TIME_HR,BACKLOG_QTY,ENERGY_KWH,ALERT_LEVEL
2026-06-01,LINE_A,DA,MOBILE,DAY,NORMAL,1240,980,18,98.2,5.4,260,1450,NORMAL
2026-06-01,LINE_A,WB,MOBILE,DAY,DELAYED,920,820,21,97.4,6.2,310,1320,WARN
2026-06-01,LINE_B,TEST,AUTO,NIGHT,NORMAL,710,690,9,98.7,4.8,120,1180,NORMAL
2026-06-01,LINE_B,PACK,AUTO,NIGHT,HOLD,540,430,12,97.2,7.1,210,970,WARN
2026-06-02,LINE_A,DA,MOBILE,DAY,NORMAL,1180,1010,14,98.6,5.1,190,1425,NORMAL
2026-06-02,LINE_A,WB,MOBILE,DAY,DELAYED,1015,850,30,96.5,6.8,365,1360,WARN
2026-06-02,LINE_B,TEST,AUTO,NIGHT,NORMAL,760,735,11,98.5,4.7,105,1210,NORMAL
2026-06-02,LINE_B,PACK,AUTO,NIGHT,HOLD,590,470,16,96.6,7.4,245,995,WARN
2026-06-03,LINE_A,DA,MOBILE,DAY,NORMAL,1090,1040,12,98.8,4.9,160,1390,NORMAL
2026-06-03,LINE_A,WB,MOBILE,DAY,CRITICAL,1160,790,44,94.7,8.2,510,1485,HIGH
2026-06-03,LINE_B,TEST,AUTO,NIGHT,NORMAL,735,760,10,98.7,4.6,90,1195,NORMAL
2026-06-03,LINE_B,PACK,AUTO,NIGHT,HOLD,640,455,19,95.8,7.9,300,1015,WARN
2026-06-04,LINE_A,DA,MOBILE,NIGHT,NORMAL,1125,1025,13,98.7,5.0,175,1410,NORMAL
2026-06-04,LINE_A,WB,MOBILE,NIGHT,CRITICAL,1245,760,52,93.6,8.9,620,1530,HIGH
2026-06-04,LINE_B,TEST,AUTO,DAY,NORMAL,790,780,8,99.0,4.4,80,1235,NORMAL
2026-06-04,LINE_B,PACK,AUTO,DAY,HOLD,700,480,22,95.4,8.1,335,1040,WARN
2026-06-05,LINE_A,DA,MOBILE,NIGHT,NORMAL,1070,1085,11,99.0,4.7,130,1375,NORMAL
2026-06-05,LINE_A,WB,MOBILE,NIGHT,DELAYED,1110,875,28,96.8,6.9,390,1440,WARN
2026-06-05,LINE_B,TEST,AUTO,DAY,NORMAL,820,805,9,98.9,4.3,75,1250,NORMAL
2026-06-05,LINE_B,PACK,AUTO,DAY,HOLD,675,515,17,96.7,7.3,280,1030,WARN
2026-06-06,LINE_A,DA,SERVER,DAY,NORMAL,980,970,10,99.0,4.8,145,1340,NORMAL
2026-06-06,LINE_A,WB,SERVER,DAY,DELAYED,1045,910,25,97.3,6.3,320,1415,WARN
2026-06-06,LINE_B,TEST,SERVER,NIGHT,NORMAL,880,850,13,98.5,4.9,130,1290,NORMAL
2026-06-06,LINE_B,PACK,SERVER,NIGHT,NORMAL,610,590,8,98.6,5.6,95,990,NORMAL
2026-06-07,LINE_A,DA,SERVER,DAY,NORMAL,940,1015,8,99.2,4.5,105,1325,NORMAL
2026-06-07,LINE_A,WB,SERVER,DAY,DELAYED,990,930,20,97.8,6.0,260,1380,WARN
2026-06-07,LINE_B,TEST,SERVER,NIGHT,NORMAL,910,880,12,98.6,4.8,115,1305,NORMAL
2026-06-07,LINE_B,PACK,SERVER,NIGHT,NORMAL,580,610,7,98.9,5.3,70,965,NORMAL
2026-06-08,LINE_A,DA,SERVER,NIGHT,NORMAL,910,1035,7,99.3,4.4,85,1310,NORMAL
2026-06-08,LINE_A,WB,SERVER,NIGHT,NORMAL,950,970,16,98.4,5.5,180,1350,NORMAL
2026-06-08,LINE_B,TEST,SERVER,DAY,NORMAL,940,910,11,98.8,4.6,100,1320,NORMAL
2026-06-08,LINE_B,PACK,SERVER,DAY,NORMAL,560,640,6,99.1,5.1,55,950,NORMAL
