DATE,LINE,PROCESS,DEFECT_TYPE,DEFECT_COUNT,INSPECTION_COUNT,YIELD_RATE,CYCLE_TIME_SEC,TEMPERATURE_C,STATUS
2026-06-01,L1,DA,Scratch,12,1200,0.987,42,23.1,normal
2026-06-01,L1,WB,Bond,18,1180,0.982,51,24.0,watch
2026-06-01,L2,TEST,Electrical,25,1110,0.974,66,25.3,warning
2026-06-02,L1,DA,Particle,9,1210,0.990,43,23.4,normal
2026-06-02,L2,WB,Bond,21,1160,0.979,54,24.8,watch
2026-06-02,L2,TEST,Electrical,31,1095,0.969,69,26.1,warning
2026-06-03,L1,DA,Scratch,14,1235,0.986,44,23.6,normal
2026-06-03,L1,WB,Particle,16,1198,0.984,52,24.1,normal
2026-06-03,L2,TEST,Crack,34,1070,0.966,73,26.5,danger
2026-06-04,L1,DA,Scratch,11,1220,0.988,43,23.0,normal
2026-06-04,L2,WB,Bond,19,1174,0.981,55,24.9,watch
2026-06-04,L2,TEST,Electrical,28,1102,0.972,68,25.9,warning
2026-06-05,L1,DA,Particle,8,1245,0.992,41,22.8,normal
2026-06-05,L1,WB,Bond,17,1201,0.984,53,24.2,normal
2026-06-05,L2,TEST,Crack,38,1065,0.963,75,26.8,danger
2026-06-06,L1,DA,Scratch,13,1218,0.987,44,23.2,normal
2026-06-06,L2,WB,Particle,22,1156,0.978,57,25.1,watch
2026-06-06,L2,TEST,Electrical,30,1088,0.970,70,26.3,warning
